City,Date,CO,NH3,NO2,AQI,AQI_Bucket
Aizawl,2020-04-20,0.25,19.13,0.95,24.0,Good
Aizawl,2020-04-21,0.27,16.64,0.75,23.0,Good
Aizawl,2020-04-22,0.24,15.61,0.34,20.0,Good
Aizawl,2020-04-23,0.26,16.78,0.26,19.0,Good
Aizawl,2020-04-24,0.21,12.4,0.34,19.0,Good
Aizawl,2020-04-25,0.18,17.91,0.2,19.0,Good
Aizawl,2020-04-26,0.18,12.44,0.13,18.0,Good
Aizawl,2020-04-27,0.25,17.69,0.27,19.0,Good
Aizawl,2020-04-28,0.26,17.07,0.18,19.0,Good
Aizawl,2020-04-29,0.21,15.28,0.17,19.0,Good
Aizawl,2020-04-30,0.24,14.49,0.3,19.0,Good
Aizawl,2020-05-01,0.3,18.21,0.35,20.0,Good
Aizawl,2020-05-02,0.28,16.69,0.23,20.0,Good
Aizawl,2020-05-03,0.19,14.56,0.08,19.0,Good
Aizawl,2020-05-04,0.23,15.74,0.22,19.0,Good
Aizawl,2020-05-05,0.27,18.64,0.25,19.0,Good
Aizawl,2020-05-06,0.24,15.26,0.63,20.0,Good
Aizawl,2020-05-07,0.27,19.43,0.18,20.0,Good
Aizawl,2020-05-08,0.32,22.37,0.49,20.0,Good
Aizawl,2020-05-09,0.37,27.89,0.34,24.0,Good
Aizawl,2020-05-10,0.31,32.66,0.09,24.0,Good
Aizawl,2020-05-11,0.39,29.77,0.69,35.0,Good
Aizawl,2020-05-12,0.42,29.94,0.44,46.0,Good
Aizawl,2020-05-13,0.37,21.17,0.6,46.0,Good
Aizawl,2020-05-14,0.32,23.68,0.65,33.0,Good
Aizawl,2020-05-15,0.31,23.19,0.35,31.0,Good
Aizawl,2020-05-16,0.27,22.47,0.29,21.0,Good
Aizawl,2020-05-17,0.23,25.82,0.12,20.0,Good
Aizawl,2020-05-18,0.38,28.94,0.56,26.0,Good
Aizawl,2020-05-19,0.36,25.16,0.48,32.0,Good
Aizawl,2020-05-20,0.31,17.62,0.51,24.0,Good
Aizawl,2020-05-21,0.21,13.24,0.34,20.0,Good
Aizawl,2020-05-22,0.25,11.35,0.36,22.0,Good
Aizawl,2020-05-23,0.25,16.11,0.27,22.0,Good
Aizawl,2020-05-24,0.19,15.75,0.09,27.0,Good
Aizawl,2020-05-25,0.19,14.45,0.28,20.0,Good
Aizawl,2020-05-26,0.22,12.13,0.42,19.0,Good
Aizawl,2020-05-27,0.21,16.72,0.62,21.0,Good
Aizawl,2020-05-28,0.24,19.71,0.35,21.0,Good
Aizawl,2020-05-29,0.24,12.68,0.47,20.0,Good
Aizawl,2020-05-30,0.22,12.93,0.21,20.0,Good
Aizawl,2020-05-31,0.17,12.87,0.08,19.0,Good
Aizawl,2020-06-01,0.22,12.84,0.59,19.0,Good
Aizawl,2020-06-02,0.24,13.28,0.21,20.0,Good
Aizawl,2020-06-03,0.24,14.43,0.29,20.0,Good
Aizawl,2020-06-04,0.19,16.06,0.22,19.0,Good
Aizawl,2020-06-05,0.24,25.23,0.7,31.0,Good
Aizawl,2020-06-06,0.21,18.88,0.15,20.0,Good
Aizawl,2020-06-07,0.18,19.16,0.09,19.0,Good
Aizawl,2020-06-08,0.41,22.38,0.76,25.0,Good
Aizawl,2020-06-09,0.33,24.75,0.13,23.0,Good
Aizawl,2020-06-10,0.22,21.4,0.1,19.0,Good
Aizawl,2020-06-12,0.2,21.22,0.25,19.0,Good
Aizawl,2020-06-13,0.17,22.03,0.07,19.0,Good
Aizawl,2020-06-14,0.16,24.59,0.07,19.0,Good
Aizawl,2020-06-15,0.17,24.48,0.07,19.0,Good
Aizawl,2020-06-16,0.17,20.36,0.37,19.0,Good
Aizawl,2020-06-17,0.16,19.46,0.33,20.0,Good
Aizawl,2020-06-18,0.15,24.03,0.22,20.0,Good
Aizawl,2020-06-19,0.2,36.73,0.26,20.0,Good
Aizawl,2020-06-20,0.22,34.12,0.08,19.0,Good
Aizawl,2020-06-21,0.15,29.9,0.06,19.0,Good
Aizawl,2020-06-22,0.16,29.98,0.32,20.0,Good
Aizawl,2020-06-23,0.05,25.38,0.38,20.0,Good
Aizawl,2020-06-24,0.07,25.57,0.14,25.0,Good
Aizawl,2020-06-25,0.05,23.4,0.16,33.0,Good
Aizawl,2020-06-26,0.03,22.46,0.18,21.0,Good
Aizawl,2020-06-27,0.02,22.42,0.07,19.0,Good
Aizawl,2020-06-28,0.02,25.45,0.05,19.0,Good
Aizawl,2020-06-29,0.12,28.73,0.13,20.0,Good
Aizawl,2020-06-30,0.11,28.68,0.1,20.0,Good
Aizawl,2020-07-01,0.02,19.41,0.07,20.0,Good
Amaravati,2017-11-25,0.12,10.72,20.5,184.0,Moderate
Amaravati,2017-11-26,0.14,10.28,26.0,197.0,Moderate
Amaravati,2017-11-27,0.11,12.91,30.85,198.0,Moderate
Amaravati,2017-11-28,0.09,11.42,28.07,188.0,Moderate
Amaravati,2017-11-29,0.16,12.25,23.2,173.0,Moderate
Amaravati,2017-11-30,0.12,10.95,20.17,165.0,Moderate
Amaravati,2017-12-01,0.1,10.95,19.29,191.0,Moderate
Amaravati,2017-12-02,0.1,13.12,26.19,191.0,Moderate
Amaravati,2017-12-03,0.15,14.36,21.31,227.0,Poor
Amaravati,2017-12-04,0.18,14.41,26.98,168.0,Moderate
Amaravati,2017-12-05,0.12,13.72,20.23,198.0,Moderate
Amaravati,2017-12-06,0.11,15.12,25.65,201.0,Poor
Amaravati,2017-12-07,0.13,17.34,41.1,252.0,Poor
Amaravati,2017-12-08,0.27,17.96,54.87,310.0,Very Poor
Amaravati,2017-12-09,0.09,15.73,44.97,196.0,Moderate
Amaravati,2017-12-10,0.1,12.56,33.85,132.0,Moderate
Amaravati,2017-12-11,0.16,15.2,41.64,147.0,Moderate
Amaravati,2017-12-12,0.24,21.24,42.1,179.0,Moderate
Amaravati,2017-12-13,0.15,17.63,34.78,145.0,Moderate
Amaravati,2017-12-14,0.14,19.34,29.97,115.0,Moderate
Amaravati,2017-12-15,0.1,16.0,25.0,140.0,Moderate
Amaravati,2017-12-16,0.17,15.56,40.92,156.0,Moderate
Amaravati,2017-12-17,0.08,18.52,47.05,225.0,Poor
Amaravati,2017-12-18,0.11,18.49,53.94,251.0,Poor
Amaravati,2017-12-19,0.13,19.66,43.09,228.0,Poor
Amaravati,2017-12-20,0.3,17.37,47.47,223.0,Poor
Amaravati,2017-12-21,0.14,17.28,49.55,170.0,Moderate
Amaravati,2017-12-22,0.15,19.53,56.0,165.0,Moderate
Amaravati,2017-12-23,0.15,20.78,42.0,159.0,Moderate
Amaravati,2017-12-24,0.22,23.68,47.68,232.0,Poor
Amaravati,2017-12-25,0.1,21.66,31.06,242.0,Poor
Amaravati,2017-12-26,0.17,22.52,43.54,274.0,Poor
Amaravati,2017-12-27,0.23,21.06,63.48,259.0,Poor
Amaravati,2017-12-28,0.27,18.87,64.53,225.0,Poor
Amaravati,2017-12-29,0.17,18.2,46.65,177.0,Moderate
Amaravati,2017-12-30,0.1,16.86,33.26,120.0,Moderate
Amaravati,2017-12-31,0.08,17.82,39.5,120.0,Moderate
Amaravati,2018-01-01,0.09,18.03,23.36,120.0,Moderate
Amaravati,2018-01-02,0.09,19.57,23.14,132.0,Moderate
Amaravati,2018-01-03,0.09,25.61,39.99,136.0,Moderate
Amaravati,2018-01-04,0.11,19.45,53.79,182.0,Moderate
Amaravati,2018-01-05,0.08,21.02,56.39,222.0,Poor
Amaravati,2018-01-06,0.07,18.71,61.55,230.0,Poor
Amaravati,2018-01-07,0.07,20.18,46.9,224.0,Poor
Amaravati,2018-01-08,0.09,21.59,34.93,217.0,Poor
Amaravati,2018-01-09,0.05,17.71,37.58,230.0,Poor
Amaravati,2018-01-10,0.1,22.35,37.31,229.0,Poor
Amaravati,2018-01-11,0.08,23.66,42.52,229.0,Poor
Amaravati,2018-01-12,0.04,24.74,52.24,235.0,Poor
Amaravati,2018-01-13,0.05,20.06,36.41,214.0,Poor
Amaravati,2018-01-14,0.05,21.23,28.32,186.0,Moderate
Amaravati,2018-01-15,0.05,20.38,21.35,172.0,Moderate
Amaravati,2018-01-16,0.06,18.78,20.25,138.0,Moderate
Amaravati,2018-01-17,0.06,20.29,26.26,125.0,Moderate
Amaravati,2018-01-18,0.05,21.68,45.13,132.0,Moderate
Amaravati,2018-01-19,0.06,21.32,45.4,111.0,Moderate
Amaravati,2018-01-20,0.13,21.88,56.53,137.0,Moderate
Amaravati,2018-01-21,0.05,19.33,38.15,172.0,Moderate
Amaravati,2018-01-22,0.06,19.12,45.36,160.0,Moderate
Amaravati,2018-01-23,0.06,20.29,45.43,163.0,Moderate
Amaravati,2018-01-24,0.06,21.11,44.96,165.0,Moderate
Amaravati,2018-01-25,0.06,23.45,59.92,139.0,Moderate
Amaravati,2018-01-26,0.08,26.0,43.61,176.0,Moderate
Amaravati,2018-01-27,0.09,26.3,43.84,162.0,Moderate
Amaravati,2018-01-28,0.06,22.05,33.37,160.0,Moderate
Amaravati,2018-01-29,0.07,20.24,35.82,142.0,Moderate
Amaravati,2018-01-30,0.05,21.73,45.76,172.0,Moderate
Amaravati,2018-01-31,0.04,19.74,61.52,134.0,Moderate
Amaravati,2018-02-01,0.05,19.42,62.18,136.0,Moderate
Amaravati,2018-02-02,0.07,19.89,45.52,130.0,Moderate
Amaravati,2018-02-03,0.07,23.31,34.37,111.0,Moderate
Amaravati,2018-02-04,0.06,11.19,35.16,117.0,Moderate
Amaravati,2018-02-05,0.66,13.4,30.69,102.0,Moderate
Amaravati,2018-02-06,0.81,17.9,28.53,108.0,Moderate
Amaravati,2018-02-07,0.97,11.05,37.27,99.0,Satisfactory
Amaravati,2018-02-08,0.9,13.02,26.96,121.0,Moderate
Amaravati,2018-02-09,0.61,12.32,20.1,86.0,Satisfactory
Amaravati,2018-02-10,0.61,11.9,16.83,57.0,Satisfactory
Amaravati,2018-02-11,0.62,13.05,11.87,107.0,Moderate
Amaravati,2018-02-12,0.68,11.94,12.85,118.0,Moderate
Amaravati,2018-02-13,0.86,11.99,13.88,110.0,Moderate
Amaravati,2018-02-14,0.95,10.89,16.71,114.0,Moderate
Amaravati,2018-02-15,0.69,20.24,25.6,111.0,Moderate
Amaravati,2018-02-16,0.78,33.72,25.03,117.0,Moderate
Amaravati,2018-02-17,0.67,22.52,16.01,107.0,Moderate
Amaravati,2018-02-18,0.49,24.68,17.35,87.0,Satisfactory
Amaravati,2018-02-19,0.58,22.79,12.79,89.0,Satisfactory
Amaravati,2018-02-20,0.64,23.18,16.33,97.0,Satisfactory
Amaravati,2018-02-21,0.58,19.54,16.82,100.0,Satisfactory
Amaravati,2018-02-22,0.6,18.13,17.33,105.0,Moderate
Amaravati,2018-02-23,0.85,16.57,17.75,114.0,Moderate
Amaravati,2018-02-24,0.7,20.46,19.14,116.0,Moderate
Amaravati,2018-02-27,0.81,18.5,21.18,116.0,Moderate
Amaravati,2018-02-28,0.79,22.46,19.02,108.0,Moderate
Amaravati,2018-03-01,0.79,19.27,22.21,100.0,Satisfactory
Amaravati,2018-03-02,0.72,14.52,18.83,92.0,Satisfactory
Amaravati,2018-03-03,0.65,12.72,17.33,80.0,Satisfactory
Amaravati,2018-03-04,0.66,12.41,22.81,88.0,Satisfactory
Amaravati,2018-03-05,0.78,12.52,24.74,83.0,Satisfactory
Amaravati,2018-03-06,0.81,14.03,26.29,100.0,Satisfactory
Amaravati,2018-03-07,0.75,14.15,19.03,81.0,Satisfactory
Amaravati,2018-03-08,1.03,14.0,28.85,112.0,Moderate
Amaravati,2018-03-09,0.91,16.53,22.65,113.0,Moderate
Amaravati,2018-03-10,0.64,14.09,19.92,105.0,Moderate
Amaravati,2018-03-11,0.78,13.51,13.08,88.0,Satisfactory
Amaravati,2018-03-12,0.68,12.65,19.07,78.0,Satisfactory
Amaravati,2018-03-13,0.72,11.64,20.82,78.0,Satisfactory
Amaravati,2018-03-14,0.56,14.1,15.22,69.0,Satisfactory
Amaravati,2018-03-15,0.58,10.74,10.42,60.0,Satisfactory
Amaravati,2018-03-16,0.58,11.53,8.18,51.0,Satisfactory
Amaravati,2018-03-17,0.7,13.47,19.05,61.0,Satisfactory
Amaravati,2018-03-18,0.8,13.75,20.43,90.0,Satisfactory
Amaravati,2018-03-19,0.7,13.34,14.37,74.0,Satisfactory
Amaravati,2018-03-20,0.57,13.96,18.83,76.0,Satisfactory
Amaravati,2018-03-22,0.59,15.35,14.44,92.0,Satisfactory
Amaravati,2018-03-23,0.6,15.02,14.79,93.0,Satisfactory
Amaravati,2018-03-24,0.73,14.58,8.53,88.0,Satisfactory
Amaravati,2018-03-25,0.67,13.53,6.99,75.0,Satisfactory
Amaravati,2018-03-26,0.68,10.94,9.86,79.0,Satisfactory
Amaravati,2018-03-27,0.58,11.24,11.29,74.0,Satisfactory
Amaravati,2018-03-28,0.83,11.8,10.36,62.0,Satisfactory
Amaravati,2018-03-29,0.69,11.54,7.68,53.0,Satisfactory
Amaravati,2018-03-30,0.57,9.3,8.43,53.0,Satisfactory
Amaravati,2018-03-31,0.64,10.49,6.86,55.0,Satisfactory
Amaravati,2018-04-01,0.55,7.53,5.28,52.0,Satisfactory
Amaravati,2018-04-02,0.56,8.17,14.33,55.0,Satisfactory
Amaravati,2018-04-03,0.67,10.88,11.27,56.0,Satisfactory
Amaravati,2018-04-04,0.72,12.44,9.65,56.0,Satisfactory
Amaravati,2018-04-05,0.69,8.44,6.63,52.0,Satisfactory
Amaravati,2018-04-07,0.74,10.27,10.84,76.0,Satisfactory
Amaravati,2018-04-08,0.65,9.77,13.54,76.0,Satisfactory
Amaravati,2018-04-09,0.81,10.54,8.86,81.0,Satisfactory
Amaravati,2018-04-10,0.5,9.83,11.71,59.0,Satisfactory
Amaravati,2018-04-13,0.59,8.62,5.22,46.0,Good
Amaravati,2018-04-14,0.61,8.66,6.48,40.0,Good
Amaravati,2018-04-15,0.47,8.32,3.54,33.0,Good
Amaravati,2018-04-16,0.5,7.23,5.73,49.0,Good
Amaravati,2018-04-17,0.53,6.04,5.86,32.0,Good
Amaravati,2018-04-19,0.44,6.59,3.26,42.0,Good
Amaravati,2018-04-21,0.66,6.3,4.9,53.0,Satisfactory
Amaravati,2018-04-22,0.36,5.01,3.86,47.0,Good
Amaravati,2018-04-25,0.76,6.68,12.71,79.0,Satisfactory
Amaravati,2018-04-27,0.48,6.78,5.11,47.0,Good
Amaravati,2018-04-28,0.66,5.66,4.84,51.0,Satisfactory
Amaravati,2018-04-29,1.01,4.43,5.55,52.0,Satisfactory
Amaravati,2018-05-01,0.8,5.76,6.96,88.0,Satisfactory
Amaravati,2018-05-02,0.85,8.96,22.75,78.0,Satisfactory
Amaravati,2018-05-03,0.49,12.76,14.17,90.0,Satisfactory
Amaravati,2018-05-04,0.56,12.69,26.74,43.0,Good
Amaravati,2018-05-09,0.43,7.77,6.9,55.0,Satisfactory
Amaravati,2018-05-11,0.51,4.63,10.28,52.0,Satisfactory
Amaravati,2018-05-13,0.4,7.82,5.94,84.0,Satisfactory
Amaravati,2018-05-14,1.03,9.3,10.0,95.0,Satisfactory
Amaravati,2018-05-15,0.26,9.67,14.93,58.0,Satisfactory
Amaravati,2018-05-17,1.18,8.99,9.26,125.0,Moderate
Amaravati,2018-05-18,0.59,13.54,9.05,192.0,Moderate
Amaravati,2018-05-24,0.48,11.52,13.88,86.0,Satisfactory
Amaravati,2018-05-25,0.5,10.61,11.3,62.0,Satisfactory
Amaravati,2018-05-26,0.46,9.78,8.59,78.0,Satisfactory
Amaravati,2018-05-27,0.41,9.48,7.25,114.0,Moderate
Amaravati,2018-05-28,0.34,10.79,7.72,103.0,Moderate
Amaravati,2018-05-29,0.36,11.18,10.82,134.0,Moderate
Amaravati,2018-05-30,0.29,9.85,10.17,168.0,Moderate
Amaravati,2018-05-31,0.32,9.97,9.57,150.0,Moderate
Amaravati,2018-06-01,0.57,10.06,11.57,127.0,Moderate
Amaravati,2018-06-02,0.43,9.62,15.21,106.0,Moderate
Amaravati,2018-06-03,0.32,7.89,19.38,129.0,Moderate
Amaravati,2018-06-04,0.4,9.02,10.78,136.0,Moderate
Amaravati,2018-06-05,0.38,11.27,13.18,155.0,Moderate
Amaravati,2018-06-06,0.51,13.99,18.42,87.0,Satisfactory
Amaravati,2018-06-07,0.42,17.3,13.9,84.0,Satisfactory
Amaravati,2018-06-08,0.32,14.89,10.45,85.0,Satisfactory
Amaravati,2018-06-09,0.4,10.79,9.03,91.0,Satisfactory
Amaravati,2018-06-10,0.46,9.14,6.11,76.0,Satisfactory
Amaravati,2018-06-11,0.49,9.74,10.06,60.0,Satisfactory
Amaravati,2018-06-12,0.79,10.29,13.82,69.0,Satisfactory
Amaravati,2018-06-13,0.61,9.72,15.08,64.0,Satisfactory
Amaravati,2018-06-14,0.55,11.4,11.83,98.0,Satisfactory
Amaravati,2018-06-15,1.13,13.41,13.57,128.0,Moderate
Amaravati,2018-06-16,0.75,10.54,10.96,113.0,Moderate
Amaravati,2018-06-17,0.98,10.85,8.32,87.0,Satisfactory
Amaravati,2018-06-18,0.46,10.72,7.85,79.0,Satisfactory
Amaravati,2018-06-19,0.84,9.36,9.13,69.0,Satisfactory
Amaravati,2018-06-20,1.02,10.32,11.31,78.0,Satisfactory
Amaravati,2018-06-21,1.01,11.32,11.7,88.0,Satisfactory
Amaravati,2018-06-22,0.81,12.21,12.39,101.0,Moderate
Amaravati,2018-06-23,1.05,11.67,11.42,80.0,Satisfactory
Amaravati,2018-06-24,1.0,9.25,7.26,89.0,Satisfactory
Amaravati,2018-06-25,0.55,10.94,7.4,71.0,Satisfactory
Amaravati,2018-06-26,0.52,10.01,8.54,68.0,Satisfactory
Amaravati,2018-06-27,0.57,11.26,10.6,56.0,Satisfactory
Amaravati,2018-06-28,0.61,11.74,17.41,65.0,Satisfactory
Amaravati,2018-06-29,0.38,13.37,13.66,66.0,Satisfactory
Amaravati,2018-06-30,0.41,12.81,12.76,96.0,Satisfactory
Amaravati,2018-07-01,0.51,15.06,16.64,68.0,Satisfactory
Amaravati,2018-07-02,0.52,13.73,15.53,76.0,Satisfactory
Amaravati,2018-07-03,0.4,10.28,13.96,70.0,Satisfactory
Amaravati,2018-07-04,0.41,10.96,13.23,75.0,Satisfactory
Amaravati,2018-07-05,0.33,11.11,10.72,73.0,Satisfactory
Amaravati,2018-07-06,0.63,13.21,17.63,85.0,Satisfactory
Amaravati,2018-07-07,0.37,11.04,6.82,83.0,Satisfactory
Amaravati,2018-07-08,0.46,9.79,5.31,73.0,Satisfactory
Amaravati,2018-07-09,0.37,9.56,7.43,75.0,Satisfactory
Amaravati,2018-07-10,0.36,10.87,6.81,63.0,Satisfactory
Amaravati,2018-07-11,0.39,10.19,6.37,62.0,Satisfactory
Amaravati,2018-07-12,0.64,16.27,7.16,79.0,Satisfactory
Amaravati,2018-07-13,0.16,13.78,7.74,37.0,Good
Amaravati,2018-07-14,0.4,15.05,7.5,35.0,Good
Amaravati,2018-07-15,0.31,12.07,5.01,31.0,Good
Amaravati,2018-07-16,0.3,11.23,6.56,29.0,Good
Amaravati,2018-07-17,0.44,13.07,8.7,32.0,Good
Amaravati,2018-07-18,0.47,14.62,11.13,39.0,Good
Amaravati,2018-07-19,0.42,11.05,9.81,48.0,Good
Amaravati,2018-07-20,0.5,12.61,12.77,42.0,Good
Amaravati,2018-07-21,0.69,14.75,14.95,73.0,Satisfactory
Amaravati,2018-07-22,0.38,14.92,7.8,59.0,Satisfactory
Amaravati,2018-07-24,0.47,15.6,16.26,55.0,Satisfactory
Amaravati,2018-07-25,0.62,14.24,16.25,86.0,Satisfactory
Amaravati,2018-07-26,0.55,16.15,15.45,100.0,Satisfactory
Amaravati,2018-07-27,0.57,16.19,7.75,85.0,Satisfactory
Amaravati,2018-07-28,0.49,18.23,20.1,57.0,Satisfactory
Amaravati,2018-07-29,0.44,18.8,20.63,85.0,Satisfactory
Amaravati,2018-07-30,0.54,18.71,24.83,85.0,Satisfactory
Amaravati,2018-07-31,0.47,21.23,23.91,106.0,Moderate
Amaravati,2018-08-01,0.34,18.05,16.41,100.0,Satisfactory
Amaravati,2018-08-02,0.43,20.07,18.33,68.0,Satisfactory
Amaravati,2018-08-03,0.5,21.89,21.95,61.0,Satisfactory
Amaravati,2018-08-04,0.38,19.74,15.65,71.0,Satisfactory
Amaravati,2018-08-05,0.95,35.2,28.8,77.0,Satisfactory
Amaravati,2018-08-07,0.8,16.57,16.89,111.0,Moderate
Amaravati,2018-08-08,0.44,19.69,16.05,47.0,Good
Amaravati,2018-08-09,0.42,22.11,25.46,47.0,Good
Amaravati,2018-08-10,0.39,24.46,11.2,48.0,Good
Amaravati,2018-08-11,0.59,17.43,9.32,49.0,Good
Amaravati,2018-08-12,0.77,11.88,8.58,50.0,Good
Amaravati,2018-08-13,0.92,14.27,7.85,57.0,Satisfactory
Amaravati,2018-08-14,0.88,14.63,8.92,60.0,Satisfactory
Amaravati,2018-08-15,0.88,15.07,10.48,52.0,Satisfactory
Amaravati,2018-08-16,0.95,18.92,6.74,54.0,Satisfactory
Amaravati,2018-08-17,0.96,13.6,7.96,63.0,Satisfactory
Amaravati,2018-08-18,0.86,14.61,6.6,53.0,Satisfactory
Amaravati,2018-08-19,1.03,20.04,6.04,56.0,Satisfactory
Amaravati,2018-08-21,1.2,9.62,11.69,112.0,Moderate
Amaravati,2018-08-22,1.08,17.12,7.66,75.0,Satisfactory
Amaravati,2018-08-24,1.36,16.38,19.03,89.0,Satisfactory
Amaravati,2018-08-25,1.1,18.52,20.45,76.0,Satisfactory
Amaravati,2018-08-26,0.95,19.91,14.59,78.0,Satisfactory
Amaravati,2018-08-27,0.87,19.26,13.33,66.0,Satisfactory
Amaravati,2018-08-28,0.95,17.73,16.04,61.0,Satisfactory
Amaravati,2018-08-29,1.18,19.88,16.8,83.0,Satisfactory
Amaravati,2018-08-30,1.39,20.7,19.36,87.0,Satisfactory
Amaravati,2018-08-31,1.4,20.42,19.99,97.0,Satisfactory
Amaravati,2018-09-01,1.68,24.55,21.34,98.0,Satisfactory
Amaravati,2018-09-02,1.71,22.37,24.63,99.0,Satisfactory
Amaravati,2018-09-03,1.64,21.76,23.75,94.0,Satisfactory
Amaravati,2018-09-04,1.68,21.11,26.49,98.0,Satisfactory
Amaravati,2018-09-05,1.82,20.62,17.14,102.0,Moderate
Amaravati,2018-09-06,1.57,16.71,21.87,96.0,Satisfactory
Amaravati,2018-09-07,1.48,18.06,25.22,90.0,Satisfactory
Amaravati,2018-09-08,1.54,23.69,21.31,106.0,Moderate
Amaravati,2018-09-11,1.11,23.03,32.4,88.0,Satisfactory
Amaravati,2018-09-12,0.76,21.37,23.58,103.0,Moderate
Amaravati,2018-09-13,0.62,22.66,17.56,76.0,Satisfactory
Amaravati,2018-09-14,0.78,19.44,20.86,68.0,Satisfactory
Amaravati,2018-09-15,0.66,24.14,18.65,75.0,Satisfactory
Amaravati,2018-09-18,1.34,18.14,16.1,89.0,Satisfactory
Amaravati,2018-09-19,0.81,17.82,17.41,79.0,Satisfactory
Amaravati,2018-09-20,0.65,18.04,26.27,65.0,Satisfactory
Amaravati,2018-09-21,0.74,19.86,21.04,80.0,Satisfactory
Amaravati,2018-09-22,0.97,18.22,13.45,81.0,Satisfactory
Amaravati,2018-09-23,0.43,16.71,12.18,52.0,Satisfactory
Amaravati,2018-09-24,0.92,15.48,14.01,89.0,Satisfactory
Amaravati,2018-09-25,0.82,19.43,22.94,59.0,Satisfactory
Amaravati,2018-09-26,0.84,18.56,27.49,62.0,Satisfactory
Amaravati,2018-09-27,0.62,19.6,28.22,52.0,Satisfactory
Amaravati,2018-09-29,0.85,15.78,15.29,61.0,Satisfactory
Amaravati,2018-09-30,0.84,16.9,14.9,57.0,Satisfactory
Amaravati,2018-10-01,0.75,18.93,12.51,49.0,Good
Amaravati,2018-10-02,0.72,16.77,13.81,48.0,Good
Amaravati,2018-10-05,0.84,15.01,17.79,56.0,Satisfactory
Amaravati,2018-10-06,0.76,17.96,25.91,80.0,Satisfactory
Amaravati,2018-10-07,0.86,26.12,36.24,121.0,Moderate
Amaravati,2018-10-09,1.07,18.53,52.69,142.0,Moderate
Amaravati,2018-10-10,0.81,21.36,26.45,154.0,Moderate
Amaravati,2018-10-12,0.6,17.01,29.54,130.0,Moderate
Amaravati,2018-10-13,0.88,19.97,28.13,109.0,Moderate
Amaravati,2018-10-14,0.95,22.01,24.58,113.0,Moderate
Amaravati,2018-10-15,1.09,20.86,27.36,91.0,Satisfactory
Amaravati,2018-10-16,1.07,19.19,25.38,77.0,Satisfactory
Amaravati,2018-10-17,0.94,19.77,18.92,80.0,Satisfactory
Amaravati,2018-10-23,1.29,14.58,25.88,149.0,Moderate
Amaravati,2018-10-24,1.17,15.53,25.81,133.0,Moderate
Amaravati,2018-10-26,1.18,16.01,36.38,122.0,Moderate
Amaravati,2018-10-27,1.35,14.06,45.82,133.0,Moderate
Amaravati,2018-10-28,0.88,13.73,38.23,133.0,Moderate
